problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,28,0,12,12,2955.538504,246.2948753333,11557.6925224,99,89,0,0,0,0,0,0,0,0,0,0.000846,seven_point_per_channel
3,28,1,12,12,3022.862915,251.9052429167,11919.31458498,98,89,0,0,0,0,0,0,0,0,0,0.0008157,seven_point_per_channel
3,28,2,12,12,3083.08965,256.9241375,12245.44825595,97,89,0,0,0,0,0,0,0,0,0,0.0008552,seven_point_per_channel
3,28,3,12,12,2955.538504,246.2948753333,11557.6925224,99,89,0,0,0,0,0,0,0,0,0,0.0008322,seven_point_per_channel
3,28,4,12,12,2955.538504,246.2948753333,11557.6925224,99,89,0,0,19,16,19,0,877.5565819216,81.57775518889,0,0.0044258,seven_point_per_channel
3,28,5,12,12,2872.691705,239.3909754167,11083.45852962,101,91,0,0,19,16,19,0,553.470712385,82.56639145575,0,0.0031382,seven_point_per_channel
3,29,0,15,15,4151.231482,276.7487654667,17246.15740802,105,96,2,0,0,0,0,0,0,0,0,0.0006633,seven_point_per_channel
3,29,1,15,15,4338.174432,289.2116288,18220.87216819,104,96,1,0,0,0,0,0,0,0,0,0.0006275,seven_point_per_channel
3,29,2,15,15,4584.887705,305.6591803333,19454.43852209,104,96,1,0,0,0,0,0,0,0,0,0.0006213,seven_point_per_channel
3,29,3,15,15,4151.231482,276.7487654667,17246.15740802,105,96,2,0,0,0,0,0,0,0,0,0.0006328,seven_point_per_channel
3,29,4,15,15,4151.231482,276.7487654667,17246.15740802,105,96,2,0,22,22,22,0,0,0,0,0.0026818,seven_point_per_channel
3,29,5,15,15,4329.534199,288.6356132667,18267.67100351,101,93,1,0,22,22,22,0,0,0,0,0.0052343,seven_point_per_channel
3,30,0,14,14,3849.144036,274.9388597143,15965.72018504,99,91,0,0,0,0,0,0,0,0,0,0.0007072,seven_point_per_channel
3,30,1,14,14,4131.50251,295.1073221429,17337.5125619,100,91,1,0,0,0,0,0,0,0,0,0.0006992,seven_point_per_channel
3,30,2,14,14,4330.222146,309.3015818571,18356.11073565,99,91,1,0,0,0,0,0,0,0,0,0.0006838,seven_point_per_channel
3,30,3,14,14,3849.144036,274.9388597143,15965.72018504,99,91,0,0,0,0,0,0,0,0,0,0.0006781,seven_point_per_channel
3,30,4,14,14,3849.144036,274.9388597143,15965.72018504,99,91,0,0,21,21,21,0,0,0,0,0.0052417,seven_point_per_channel
3,30,5,14,14,3707.791113,264.8422223571,14978.95557083,108,102,0,0,21,21,21,0,0,0,0,0.003141,seven_point_per_channel
3,31,0,15,15,3612.366775,240.8244516667,15101.83388291,88,77,0,0,0,0,0,0,0,0,0,0.001363,seven_point_per_channel
3,31,1,15,15,3847.600065,256.506671,16253.00032549,89,77,0,0,0,0,0,0,0,0,0,0.0013443,seven_point_per_channel
3,31,2,15,15,4001.207932,266.7471954667,17021.03964346,89,77,0,0,0,0,0,0,0,0,0,0.0013358,seven_point_per_channel
3,31,3,15,15,3612.366775,240.8244516667,15101.83388291,88,77,0,0,0,0,0,0,0,0,0,0.0013065,seven_point_per_channel
3,31,4,15,15,3612.366775,240.8244516667,15101.83388291,88,77,0,0,22,15,22,0,1161.447705344,289.9924382374,0,0.0046294,seven_point_per_channel
3,31,5,15,15,3652.535311,243.5023540667,15317.67655127,87,79,0,0,22,16,22,0,702.1876740756,144.3273085291,0,0.0043733,seven_point_per_channel
3,32,0,15,15,3720.236558,248.0157705333,15291.18279601,99,92,0,0,0,0,0,0,0,0,0,0.0008115,seven_point_per_channel
3,32,1,15,15,3896.564067,259.7709378,16172.82033669,99,92,0,0,0,0,0,0,0,0,0,0.0007921,seven_point_per_channel
3,32,2,15,15,4048.109588,269.8739725333,16880.54794572,101,92,0,0,0,0,0,0,0,0,0,0.0007896,seven_point_per_channel
3,32,3,15,15,3720.236558,248.0157705333,15291.18279601,99,92,0,0,0,0,0,0,0,0,0,0.0007901,seven_point_per_channel
3,32,4,15,15,3720.236558,248.0157705333,15291.18279601,99,92,0,0,22,20,22,0,604.9472246776,41.4706762951,0,0.0042017,seven_point_per_channel
3,32,5,15,15,3928.100913,261.8733942,16095.50455727,107,96,1,0,22,20,22,0,629.6221380716,43.50197476304,0,0.0030117,seven_point_per_channel
3,33,0,11,11,3604.608566,327.6916878182,14453.04283386,111,104,0,0,0,0,0,0,0,0,0,0.0005239,seven_point_per_channel
3,33,1,11,11,3834.323272,348.5748429091,15601.61635473,111,104,0,0,0,0,0,0,0,0,0,0.0005358,seven_point_per_channel
