日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-09-05,affine_saa_mpc,affine_saa_mpc,20646.12006630552,"[1313334.2319026801, 1516071.7101152246, 1332571.0987544232, 1498784.9405216463, 1279667.8721203534, 1295205.7331341766]"
2025-09-06,affine_saa_mpc,affine_saa_mpc,21207.385325970674,"[1310277.5197540596, 1512192.4949607935, 1330978.3333829232, 1494388.0457474573, 1276943.6656323532, 1292463.2809214755]"
2025-09-07,affine_saa_mpc,affine_saa_mpc,49340.18705245697,"[1307869.4480594464, 1508599.5904890145, 1328686.3123563894, 1490399.0366318107, 1274972.666463185, 1290243.661165019]"
2025-09-08,affine_saa_mpc,affine_saa_mpc,44976.22489116331,"[1301249.1811433733, 1498091.291640247, 1321232.7769173817, 1478927.9532106947, 1269045.8646566833, 1284280.5133211622]"
2025-09-09,affine_saa_mpc,affine_saa_mpc,41729.19932140521,"[1292639.5984901222, 1498233.3318967433, 1319030.680017752, 1480342.0300789238, 1259734.018772826, 1280991.1543989952]"
2025-09-10,affine_saa_mpc,affine_saa_mpc,50431.353537389674,"[1275736.0794985322, 1484986.7658342319, 1299295.904136084, 1467404.0841576087, 1245338.4955556039, 1264915.6804492474]"
2025-09-11,affine_saa_mpc,affine_saa_mpc,41892.272839727244,"[1265498.8694616007, 1494664.5619435546, 1297010.1603248282, 1477214.247321705, 1241717.606930669, 1266456.4877524073]"
2025-09-12,affine_saa_mpc,affine_saa_mpc,15202.04225928292,"[1252141.7982037028, 1479921.2691226474, 1282662.1220845236, 1460424.380765841, 1229582.7617875761, 1253597.1377046965]"
2025-09-13,affine_saa_mpc,affine_saa_mpc,15369.69385327868,"[1243867.2068421836, 1472511.052806426, 1274950.051086169, 1454591.0128917652, 1221758.6433578385, 1246005.1270328497]"
2025-09-14,affine_saa_mpc,affine_saa_mpc,42695.71447102707,"[1235506.099853269, 1465089.3936836782, 1267515.1084414471, 1447497.8098992559, 1213939.1931322964, 1237918.9588452193]"
2025-09-15,affine_saa_mpc,affine_saa_mpc,43935.56357869497,"[1222977.6814395005, 1458835.670044984, 1258338.3321809478, 1444031.589160215, 1202763.8868412776, 1227758.4508536626]"
2025-09-16,affine_saa_mpc,affine_saa_mpc,43994.07517610102,"[1210945.2930353396, 1448039.315783274, 1247519.2476037203, 1436213.8787542197, 1192666.844628926, 1217497.7934833388]"
2025-09-17,affine_saa_mpc,affine_saa_mpc,44223.168597834956,"[1199290.8016562713, 1443688.5037026727, 1239174.8502232193, 1432537.033292722, 1182198.0625321197, 1206995.101965149]"
2025-09-18,affine_saa_mpc,affine_saa_mpc,43355.44141235285,"[1184665.5763790875, 1418955.9958085362, 1217159.3613141621, 1405721.4412509939, 1161493.7700838062, 1183671.1277180808]"
2025-09-19,affine_saa_mpc,affine_saa_mpc,15891.913292095856,"[1172936.7160332608, 1410483.3862028585, 1204565.974466065, 1398387.8577185478, 1150528.670085497, 1172661.2065421792]"
2025-09-20,affine_saa_mpc,affine_saa_mpc,15452.48483607558,"[1164952.5556263113, 1399241.4364369279, 1194833.1895008998, 1387461.0590925736, 1142688.5359241825, 1163831.422468856]"
2025-09-21,affine_saa_mpc,affine_saa_mpc,45489.882675249624,"[1156763.7751011911, 1397921.2971240445, 1188234.157616641, 1387110.8398791195, 1135057.8403760511, 1156597.750999834]"
2025-09-22,affine_saa_mpc,affine_saa_mpc,45634.00846328983,"[1146599.8450942023, 1387320.63069488, 1177395.7765575529, 1376156.3539244484, 1125399.7607118536, 1146915.4731607141]"
2025-09-23,affine_saa_mpc,affine_saa_mpc,46130.404096455975,"[1135713.3133353684, 1370080.5742853833, 1161021.8970334071, 1357695.354745027, 1115384.1235402192, 1132855.4919087419]"
2025-09-24,affine_saa_mpc,affine_saa_mpc,45853.332133641336,"[1125920.6866290965, 1365534.8406627446, 1152245.323284459, 1354166.7279634683, 1106301.0749825933, 1124037.7013832221]"
2025-09-25,affine_saa_mpc,affine_saa_mpc,45916.82316301486,"[1115426.3077970252, 1352366.0888915546, 1142179.4229106999, 1342323.3557861575, 1096490.3269673958, 1114296.2956018636]"
2025-09-26,affine_saa_mpc,affine_saa_mpc,15756.440764056422,"[1104525.5863726053, 1340295.7995985455, 1123432.1400754352, 1328866.5448655053, 1085297.404704848, 1101700.0854299613]"
2025-09-27,affine_saa_mpc,affine_saa_mpc,16482.789673371124,"[1095588.5501617128, 1332226.235034902, 1114254.1018830002, 1321393.0562116124, 1076735.703069339, 1093122.1578058104]"
2025-09-28,affine_saa_mpc,affine_saa_mpc,47085.05890447552,"[1087244.5958357283, 1331335.2155086498, 1108096.7799171328, 1321916.4114982472, 1068786.9292845898, 1085578.5036917706]"
2025-09-29,affine_saa_mpc,affine_saa_mpc,47605.170994603715,"[1077590.845642202, 1328345.1539278808, 1099437.7671507, 1318428.088534482, 1059777.8649486662, 1076579.1179307222]"
2025-09-30,affine_saa_mpc,affine_saa_mpc,48131.067416258054,"[1074817.5883373595, 1335467.5413203477, 1095894.8277831604, 1324091.3014466595, 1057405.218760121, 1074543.5537612922]"
