日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-07-15,affine_saa_mpc,baseline,57929.5925473681,"[1453538.160848835, 1606559.894631249, 1480084.661002259, 1618968.6488143238, 1459440.4807097674, 1467502.0898625357]"
2025-07-16,affine_saa_mpc,baseline,57105.95220529841,"[1454290.2504791117, 1602544.2231040774, 1480628.059510748, 1616462.5745462028, 1460102.769705482, 1468164.3788582503]"
2025-07-17,affine_saa_mpc,baseline,57023.45107273885,"[1453078.223911472, 1603813.680130017, 1479375.2070190292, 1619337.443033122, 1458561.9942384819, 1466623.60339125]"
2025-07-18,affine_saa_mpc,baseline,30025.11779997338,"[1452446.9306415424, 1610768.0568038467, 1478917.1149814094, 1625760.837825082, 1457654.7313282886, 1465716.3404810566]"
2025-07-19,affine_saa_mpc,baseline,30163.59482183862,"[1456906.06157089, 1619548.7233702096, 1483642.6079798492, 1633892.6212815165, 1462197.0178968941, 1470250.8570598946]"
2025-07-20,affine_saa_mpc,baseline,56837.95052333946,"[1461715.4707211806, 1626331.0446340141, 1488529.9850026006, 1640804.619726992, 1467084.3949196455, 1475138.2340826464]"
2025-07-21,affine_saa_mpc,baseline,58081.356869116775,"[1462884.130035497, 1626939.9425056425, 1489416.8666679214, 1640504.565317656, 1467876.99038039, 1475930.8295433905]"
2025-07-22,affine_saa_mpc,baseline,57437.392620615756,"[1465451.9928999091, 1630700.7994054493, 1491673.294823825, 1645874.0891287935, 1469970.418309249, 1478024.2574722497]"
2025-07-23,affine_saa_mpc,baseline,57709.427929250785,"[1464859.8807263034, 1620457.7371645449, 1486992.9732458368, 1634577.639713018, 1470113.426876867, 1476876.8052271074]"
2025-07-24,affine_saa_mpc,baseline,57568.79021298881,"[1467757.6794723829, 1623149.5308839863, 1488774.7272239316, 1637231.0839015332, 1472471.9046974475, 1479235.283047688]"
2025-07-25,affine_saa_mpc,baseline,29707.164070827897,"[1469991.5528561596, 1628170.1146285532, 1492492.338188435, 1642284.6456718626, 1474085.4933416946, 1480848.871691935]"
2025-07-26,affine_saa_mpc,baseline,30344.357816697157,"[1476038.8101072686, 1633525.4920930841, 1498617.4321687866, 1647621.8902789478, 1480215.1849460322, 1486978.3565920126]"
2025-07-27,affine_saa_mpc,baseline,57025.100571128605,"[1482870.8067112898, 1636066.962573961, 1505484.4166855728, 1650669.6449740652, 1487163.1325022576, 1493926.3041482382]"
2025-07-28,affine_saa_mpc,baseline,57036.94846883932,"[1485330.5514445978, 1641518.1947481977, 1510988.4004361702, 1657074.910034293, 1489060.89472397, 1496363.856396867]"
2025-07-29,affine_saa_mpc,baseline,58242.73477501673,"[1488350.986467333, 1650951.998220615, 1518235.9570916593, 1666666.3799852384, 1492159.583314074, 1499499.1814752654]"
2025-07-30,affine_saa_mpc,baseline,58071.10710263604,"[1483583.4214086176, 1638946.9874016722, 1509567.7826558552, 1656273.90639883, 1486779.1219572865, 1493696.5123113603]"
2025-07-31,affine_saa_mpc,baseline,56655.239950175746,"[1478181.8191062019, 1627180.9113039558, 1498707.4257361884, 1644521.4287102323, 1481896.4669060153, 1486881.2246549027]"
2025-08-01,affine_saa_mpc,affine_saa_mpc,26577.127015798214,"[1461636.3797641401, 1607604.137720226, 1478011.1400115362, 1619243.3155139997, 1457752.756333393, 1462709.6784970039]"
2025-08-02,affine_saa_mpc,affine_saa_mpc,26214.408400098808,"[1444577.1014785136, 1581905.856074904, 1462653.5877412017, 1591770.9845103475, 1441605.355687186, 1445665.4248477363]"
2025-08-03,affine_saa_mpc,affine_saa_mpc,52165.197040233776,"[1424577.6156433069, 1558259.2636134503, 1445330.112692533, 1566084.7927290099, 1422175.214333099, 1425670.8906242736]"
