kind,date,emergency,kwh,cost_yuan
q4_3,2025-06-17,False,1.0955680807001045e-11,5.367582778248448e-11
q4_3,2025-06-18,True,11.165181590059703,75.49337532116482
q4_3,2025-06-19,True,31.4440724423921,220.8946089077691
q4_3,2025-06-20,False,5.5990767577895895e-12,1.881690536720271e-11
q4_3,2025-06-21,False,3.865352482534945e-12,1.895062951007276e-11
q4_3,2025-06-22,False,1.411848415955319e-11,5.678634451555808e-11
q4_3,2025-06-23,False,1.3947953902970767e-11,5.73105296552967e-11
q4_3,2025-06-24,False,1.4285461702456814e-11,5.907248556979994e-11
q4_3,2025-06-25,False,1.4174439399994299e-11,5.867582020258055e-11
q4_3,2025-06-26,False,1.2887468869848817e-11,6.057881840604297e-11
q4_3,2025-06-27,False,4.888534022029489e-12,2.048446390290337e-11
q4_3,2025-06-28,False,4.234834705130197e-12,1.3851789049112997e-11
q4_3,2025-06-29,False,1.4339418541453597e-11,5.651743395507225e-11
q4_3,2025-06-30,False,1.0190737143034312e-11,4.4329387605124286e-11
q4_3,2025-07-01,True,738.338646209509,3658.8639861860597
q4_3,2025-07-02,True,1121.744383467945,5261.900342506496
q4_3,2025-07-03,True,1378.5887274513946,4922.763106699951
q4_3,2025-07-04,True,1694.426572328213,5046.349703166984
q4_3,2025-07-05,True,1395.4110179672111,3322.091419759899
q4_3,2025-07-06,True,689.8099035850751,3137.3828013501375
q4_3,2025-07-07,True,887.8855486904388,5826.86921991332
q4_3,2025-07-08,True,3.066990854868166,26.846904448042217
q4_3,2025-07-09,True,33.23427220929847,277.15721308940186
q4_3,2025-07-10,True,0.15101377570845642,1.2907147409259236
q4_3,2025-07-11,True,29.43503333334017,92.74538535003292
q4_3,2025-07-12,True,32.661783333337176,95.4377309000212
q4_3,2025-07-13,False,1.0505374348213081e-11,5.2537753703063566e-11
q4_3,2025-07-14,False,1.0877521106067434e-11,5.665531110921051e-11
q4_3,2025-07-15,False,2.1298518504409003e-11,9.154491209528714e-11
q4_3,2025-07-16,True,28.6281753044703,239.89107708469092
q4_3,2025-07-17,False,1.476152533541608e-11,7.398106127709525e-11
q4_3,2025-07-18,False,3.666400516522117e-12,1.8870423446060157e-11
q4_3,2025-07-19,False,7.58859641791787e-12,3.2804123861751574e-11
q4_3,2025-07-20,False,1.128119819782114e-11,5.473528097432733e-11
q4_3,2025-07-21,False,7.405631663459644e-12,3.821659877445427e-11
q4_3,2025-07-22,False,1.2395418025334948e-11,5.6562447170449555e-11
q4_3,2025-07-23,True,52.796231191075734,452.69331900108807
q4_3,2025-07-24,False,1.333333443653828e-11,6.023125997955958e-11
q4_3,2025-07-25,False,5.5422333389287814e-12,2.8516790706589742e-11
q4_3,2025-07-26,False,5.7980287238024175e-12,2.418900635348109e-11
q4_3,2025-07-27,False,1.3667289522345527e-11,6.123272022762193e-11
q4_3,2025-07-28,False,1.3455903058456897e-11,5.704092220781832e-11
q4_3,2025-07-29,True,2.8205166851534758,24.21695625868801
q4_3,2025-07-30,False,1.0789591442517121e-11,5.4650467262717944e-11
q4_3,2025-07-31,False,1.900701818158268e-11,9.222467056702043e-11
q4_3,2025-08-01,False,3.675726389928968e-12,1.7507978178343822e-11
q4_3,2025-08-02,False,6.0254023992456496e-12,2.3937388959893723e-11
q4_3,2025-08-03,True,42.92183496873506,356.91045481754264
q4_3,2025-08-04,False,1.368505309073953e-11,5.999599750339257e-11
q4_3,2025-08-05,False,1.3443468560581096e-11,5.652766077446358e-11
q4_3,2025-08-06,False,1.2875034371973015e-11,6.107311634195867e-11
q4_3,2025-08-07,False,1.1603162874962436e-11,4.960013200161484e-11
q4_3,2025-08-08,False,7.16227077646181e-12,3.237653345422587e-11
q4_3,2025-08-09,False,5.9685589803848416e-12,2.1269158878567395e-11
q4_3,2025-08-10,False,1.6218137943724287e-11,5.849445372518857e-11
q4_3,2025-08-11,True,155.87952259946636,1327.126351100972
q4_3,2025-08-12,True,113.23666478881377,792.81446573799
q4_3,2025-08-13,True,8.743051260364787,71.889738988301
q4_3,2025-08-14,True,42.95590828451027,373.3727548088836
q4_3,2025-08-15,True,28.028582935755395,51.99302134583428
q4_3,2025-08-16,True,80.02952536566349,512.5090804416959
q4_3,2025-08-17,True,78.45288521326239,654.7598727694956
q4_3,2025-08-18,True,18.555438034264185,156.3466696791912
q4_3,2025-08-19,True,31.809798256893927,267.1217303017594
q4_3,2025-08-20,True,37.06058259410139,309.57634128824327
q4_3,2025-08-21,False,1.3663736808666727e-11,5.840087879960266e-11
q4_3,2025-08-22,True,10.448624741891336,53.080060708660994
q4_3,2025-08-23,False,6.956213383091381e-12,2.398212473053718e-11
q4_3,2025-08-24,False,1.326583287664107e-11,4.930157970761684e-11
q4_3,2025-08-25,True,87.25117483995545,728.6765536304192
